feature,score
X5AM,0.3208698808541892
X4AM,0.32041541776550053
X6AM,0.30205623533320575
X3AM,0.26881297368451595
solvent,0.2618699226174819
X2AM,0.19839767878744324
BE,0.1208269502120426
X1AM,0.11581106720102974
BAM,0.0655603402348289
A1MP,0.0619510645744643
BFI,0.061137867099780543
A3MP,0.05568879337478226
A2MP,0.03911669460049178
A4MP,0.030599208517373345
A4AM,0.028964187835891875
A1D,0.027575882156737938
A3AM,0.01746179875436765
A1NN,0.017108324407063672
A1AR,0.01653395837071327
A2AM,0.015408504177641549
