feature,score
BE,0.3279546395962101
A1MP,0.2757015757040324
A2MP,0.2620110706092455
A3AM,0.23671098875676255
A1AR,0.2190414851896864
A2AM,0.21365621599694318
A3MP,0.19532667874103318
A4AM,0.19128255414439052
BAM,0.18983415703165515
solvent,0.17535104269487067
A1D,0.17009795892321017
X6AM,0.15294525368528436
A1NN,0.1489631679573781
A4MP,0.14651202808850744
BFI,0.13996230873611817
X4AM,0.10201547996207065
X5AM,0.0798997720154477
X3AM,0.07779949315361086
X1AM,0.02964120701322468
X2AM,0.026999255899757012
