feature,score
A1MP,0.5563008761374335
A2MP,0.5386326508859361
A1AR,0.49628760176829195
A3MP,0.49242392018709946
A2AM,0.49161533035488747
A3AM,0.49007522722884594
A1D,0.4806335821341266
A1NN,0.4482885378226292
A4AM,0.40788132962706697
A4MP,0.38520216286954495
X5AM,0.3387873145264695
X4AM,0.3370044435503598
X3AM,0.31189093180154537
X2AM,0.2612922251646635
X6AM,0.24435259645831592
BE,0.23122135054387746
X1AM,0.16953072226999982
BAM,0.1679884296408171
solvent,0.06325035849311646
BFI,0.024042991840052996
