formula,correlation
A3AM^3-sqrt(BE^2),0.5158346984086544
A1AR^1-sqrt(A3MP^2),0.5418653625946247
A1AR^1-sqrt(A1MP^2),0.5431411254228755
A1AR^1-log(A1MP^2),0.5453795276815442
A1AR^1-A1MP^2*A2MP^1,0.5578190669922266
A1AR^1-A3AM^2*A2MP^1,0.5811872791414292
A1AR^1+(A3AM^3-A2MP^1),0.6045582811459517
A1AR^1+(A3AM^1-A2MP^1),0.6138268112517495
A1AR^1+(A3AM^1-X2AM^1),0.6277187263130268
A1AR^1+(A3AM^1-X3AM^1),0.6447185701511339
A1D^1+(A3AM^1-X3AM^1),0.6463522946905454
A1D^1+(A3AM^1-X4AM^1),0.6586678549439788
A1D^1+(A3AM^1-(log(A1D^2)+X4AM^1)),0.677388977130655
A1D^1+(A3AM^1-(sqrt(A1D^2)+X4AM^1)),0.6824915751329703
A1D^1+(A3AM^1-(sqrt(BAM^2)+X4AM^1)),0.6896481021368952
A1AR^1+(A3AM^1-(sqrt(BAM^2)+X4AM^1)),0.6898823841911881
A1AR^1-(A2MP^1+(sqrt(BAM^2)+X5AM^1)),0.7073384411648432
A1AR^1-(A2MP^1+(sqrt(BAM^2)+X4AM^1)),0.7092293747481144
A2AM^1-(A1MP^1+(sqrt(BAM^2)+X4AM^1)),0.7100020597331788
A3AM^1-(A1MP^1+(sqrt(BAM^2)+X4AM^1)),0.7218413710918392
A3AM^1-(A1MP^1+(BE^2+X4AM^1+A2MP^1)),0.7273797135398276
A3AM^1-(A1MP^1+(BAM^2+X4AM^1+A2MP^1)),0.7390252437302469
