A-BalabanJ,A-BertzCT,A-Chi0,A-Chi0n,A-Chi0v,A-Chi1,A-Chi1n,A-Chi1v,A-Chi2n,A-Chi2v,A-Chi3n,A-Chi3v,A-Chi4n,A-Chi4v,A-EState_VSA1,A-EState_VSA10,A-EState_VSA2,A-EState_VSA3,A-EState_VSA4,A-EState_VSA5,A-EState_VSA6,A-EState_VSA7,A-EState_VSA8,A-EState_VSA9,A-ExactMolWt,A-FractionCSP3,A-HallKierAlpha,A-HeavyAtomCount,A-HeavyAtomMolWt,A-Ipc,A-Kappa1,A-Kappa2,A-Kappa3,A-LabuteASA,A-MaxAbsEStateIndex,A-MaxAbsPartialCharge,A-MaxEStateIndex,A-MaxPartialCharge,A-MinAbsEStateIndex,A-MinAbsPartialCharge,A-MinEStateIndex,A-MinPartialCharge,A-MolLogP,A-MolMR,A-MolWt,A-NHOHCount,A-NOCount,A-NumAromaticHeterocycles,A-NumAromaticRings,A-NumHAcceptors,A-NumHDonors,A-NumHeteroatoms,A-NumRotatableBonds,A-NumValenceElectrons,A-PEOE_VSA1,A-PEOE_VSA10,A-PEOE_VSA14,A-PEOE_VSA3,A-PEOE_VSA4,A-PEOE_VSA5,A-PEOE_VSA6,A-PEOE_VSA7,A-PEOE_VSA8,A-PEOE_VSA9,B-BalabanJ,B-BertzCT,B-Chi0,B-Chi0n,B-Chi0v,B-Chi1,B-Chi1n,B-Chi1v,B-Chi2n,B-Chi2v,B-Chi3n,B-Chi3v,B-Chi4n,B-Chi4v,B-EState_VSA1,B-EState_VSA10,B-EState_VSA2,B-EState_VSA3,B-EState_VSA4,B-EState_VSA5,B-EState_VSA6,B-EState_VSA7,B-EState_VSA8,B-EState_VSA9,B-ExactMolWt,B-FractionCSP3,B-HallKierAlpha,B-HeavyAtomCount,B-HeavyAtomMolWt,B-Ipc,B-Kappa1,B-Kappa2,B-Kappa3,B-LabuteASA,B-MaxAbsEStateIndex,B-MaxAbsPartialCharge,B-MaxEStateIndex,B-MaxPartialCharge,B-MinAbsEStateIndex,B-MinAbsPartialCharge,B-MinEStateIndex,B-MinPartialCharge,B-MolLogP,B-MolMR,B-MolWt,B-NHOHCount,B-NOCount,B-NumAromaticCarbocycles,B-NumAromaticRings,B-NumHAcceptors,B-NumHDonors,B-NumHeteroatoms,B-NumRotatableBonds,B-NumValenceElectrons,B-PEOE_VSA1,B-PEOE_VSA10,B-PEOE_VSA14,B-PEOE_VSA3,B-PEOE_VSA4,B-PEOE_VSA5,B-PEOE_VSA6,B-PEOE_VSA7,B-PEOE_VSA8,B-PEOE_VSA9,Time,Photocurrent
2.48,569.479,13.121,9.069,9.069,8.575,4.968,4.968,3.47,3.47,2.276,2.276,1.407,1.407,11.939,9.589,11.127,11.388,0,36.659,0,0,9.968,10.213,244.048,0,-2.76,18,236.142,12779.802,11.717,4.622,2.32,101.569,10.817,0.478,10.817,0.335,0.072,0.335,-1.076,-0.478,1.54,61.387,244.206,2,6,2,2,4,2,6,3,90,10.213,0,11.939,9.589,0,0,0,24.265,12.394,22.515,2.117,1113.44,19.397,14.801,15.617,12.754,8.409,9.817,6.717,8.232,4.977,6.341,3.553,4.98,15.719,18.631,16.395,27.817,0,18.199,56.312,0,0,4.183,382.087,0.143,-2.83,27,364.293,1348879.864,17.577,5.837,2.522,157.171,12.798,0.508,12.798,0.298,0.112,0.298,-3.98,-0.508,3.725,100.282,382.437,2,5,3,3,5,2,6,2,138,10.213,16.395,0,4.183,8.418,0,30.332,66.433,5.563,0,20,8.60E-07
2.48,569.479,13.121,9.069,9.069,8.575,4.968,4.968,3.47,3.47,2.276,2.276,1.407,1.407,11.939,9.589,11.127,11.388,0,36.659,0,0,9.968,10.213,244.048,0,-2.76,18,236.142,12779.802,11.717,4.622,2.32,101.569,10.817,0.478,10.817,0.335,0.072,0.335,-1.076,-0.478,1.54,61.387,244.206,2,6,2,2,4,2,6,3,90,10.213,0,11.939,9.589,0,0,0,24.265,12.394,22.515,2.117,1113.44,19.397,14.801,15.617,12.754,8.409,9.817,6.717,8.232,4.977,6.341,3.553,4.98,15.719,18.631,16.395,27.817,0,18.199,56.312,0,0,4.183,382.087,0.143,-2.83,27,364.293,1348879.864,17.577,5.837,2.522,157.171,12.798,0.508,12.798,0.298,0.112,0.298,-3.98,-0.508,3.725,100.282,382.437,2,5,3,3,5,2,6,2,138,10.213,16.395,0,4.183,8.418,0,30.332,66.433,5.563,0,60,7.89E-07
2.48,569.479,13.121,9.069,9.069,8.575,4.968,4.968,3.47,3.47,2.276,2.276,1.407,1.407,11.939,9.589,11.127,11.388,0,36.659,0,0,9.968,10.213,244.048,0,-2.76,18,236.142,12779.802,11.717,4.622,2.32,101.569,10.817,0.478,10.817,0.335,0.072,0.335,-1.076,-0.478,1.54,61.387,244.206,2,6,2,2,4,2,6,3,90,10.213,0,11.939,9.589,0,0,0,24.265,12.394,22.515,2.117,1113.44,19.397,14.801,15.617,12.754,8.409,9.817,6.717,8.232,4.977,6.341,3.553,4.98,15.719,18.631,16.395,27.817,0,18.199,56.312,0,0,4.183,382.087,0.143,-2.83,27,364.293,1348879.864,17.577,5.837,2.522,157.171,12.798,0.508,12.798,0.298,0.112,0.298,-3.98,-0.508,3.725,100.282,382.437,2,5,3,3,5,2,6,2,138,10.213,16.395,0,4.183,8.418,0,30.332,66.433,5.563,0,100,7.47E-07
2.48,569.479,13.121,9.069,9.069,8.575,4.968,4.968,3.47,3.47,2.276,2.276,1.407,1.407,11.939,9.589,11.127,11.388,0,36.659,0,0,9.968,10.213,244.048,0,-2.76,18,236.142,12779.802,11.717,4.622,2.32,101.569,10.817,0.478,10.817,0.335,0.072,0.335,-1.076,-0.478,1.54,61.387,244.206,2,6,2,2,4,2,6,3,90,10.213,0,11.939,9.589,0,0,0,24.265,12.394,22.515,2.117,1113.44,19.397,14.801,15.617,12.754,8.409,9.817,6.717,8.232,4.977,6.341,3.553,4.98,15.719,18.631,16.395,27.817,0,18.199,56.312,0,0,4.183,382.087,0.143,-2.83,27,364.293,1348879.864,17.577,5.837,2.522,157.171,12.798,0.508,12.798,0.298,0.112,0.298,-3.98,-0.508,3.725,100.282,382.437,2,5,3,3,5,2,6,2,138,10.213,16.395,0,4.183,8.418,0,30.332,66.433,5.563,0,140,7.09E-07
2.48,569.479,13.121,9.069,9.069,8.575,4.968,4.968,3.47,3.47,2.276,2.276,1.407,1.407,11.939,9.589,11.127,11.388,0,36.659,0,0,9.968,10.213,244.048,0,-2.76,18,236.142,12779.802,11.717,4.622,2.32,101.569,10.817,0.478,10.817,0.335,0.072,0.335,-1.076,-0.478,1.54,61.387,244.206,2,6,2,2,4,2,6,3,90,10.213,0,11.939,9.589,0,0,0,24.265,12.394,22.515,2.117,1113.44,19.397,14.801,15.617,12.754,8.409,9.817,6.717,8.232,4.977,6.341,3.553,4.98,15.719,18.631,16.395,27.817,0,18.199,56.312,0,0,4.183,382.087,0.143,-2.83,27,364.293,1348879.864,17.577,5.837,2.522,157.171,12.798,0.508,12.798,0.298,0.112,0.298,-3.98,-0.508,3.725,100.282,382.437,2,5,3,3,5,2,6,2,138,10.213,16.395,0,4.183,8.418,0,30.332,66.433,5.563,0,180,6.75E-07
2.48,569.479,13.121,9.069,9.069,8.575,4.968,4.968,3.47,3.47,2.276,2.276,1.407,1.407,11.939,9.589,11.127,11.388,0,36.659,0,0,9.968,10.213,244.048,0,-2.76,18,236.142,12779.802,11.717,4.622,2.32,101.569,10.817,0.478,10.817,0.335,0.072,0.335,-1.076,-0.478,1.54,61.387,244.206,2,6,2,2,4,2,6,3,90,10.213,0,11.939,9.589,0,0,0,24.265,12.394,22.515,2.145,437.932,11.38,8.668,8.668,7.737,4.867,4.867,3.383,3.383,2.067,2.067,1.197,1.197,0,0,0,11.375,11.375,0,24.265,24.265,10.229,11.467,212.106,0,-2.36,16,200.16,5494.485,10.168,4.44,2.571,93.615,5.564,0.399,5.564,0.086,0.714,0.086,0.714,-0.399,3.266,65.885,212.256,4,4,2,2,4,2,4,2,80,11.467,0,0,0,10.229,0,0,48.531,11.375,11.375,20,1.20E-08
2.48,569.479,13.121,9.069,9.069,8.575,4.968,4.968,3.47,3.47,2.276,2.276,1.407,1.407,11.939,9.589,11.127,11.388,0,36.659,0,0,9.968,10.213,244.048,0,-2.76,18,236.142,12779.802,11.717,4.622,2.32,101.569,10.817,0.478,10.817,0.335,0.072,0.335,-1.076,-0.478,1.54,61.387,244.206,2,6,2,2,4,2,6,3,90,10.213,0,11.939,9.589,0,0,0,24.265,12.394,22.515,2.145,437.932,11.38,8.668,8.668,7.737,4.867,4.867,3.383,3.383,2.067,2.067,1.197,1.197,0,0,0,11.375,11.375,0,24.265,24.265,10.229,11.467,212.106,0,-2.36,16,200.16,5494.485,10.168,4.44,2.571,93.615,5.564,0.399,5.564,0.086,0.714,0.086,0.714,-0.399,3.266,65.885,212.256,4,4,2,2,4,2,4,2,80,11.467,0,0,0,10.229,0,0,48.531,11.375,11.375,60,1.36E-08
2.48,569.479,13.121,9.069,9.069,8.575,4.968,4.968,3.47,3.47,2.276,2.276,1.407,1.407,11.939,9.589,11.127,11.388,0,36.659,0,0,9.968,10.213,244.048,0,-2.76,18,236.142,12779.802,11.717,4.622,2.32,101.569,10.817,0.478,10.817,0.335,0.072,0.335,-1.076,-0.478,1.54,61.387,244.206,2,6,2,2,4,2,6,3,90,10.213,0,11.939,9.589,0,0,0,24.265,12.394,22.515,2.145,437.932,11.38,8.668,8.668,7.737,4.867,4.867,3.383,3.383,2.067,2.067,1.197,1.197,0,0,0,11.375,11.375,0,24.265,24.265,10.229,11.467,212.106,0,-2.36,16,200.16,5494.485,10.168,4.44,2.571,93.615,5.564,0.399,5.564,0.086,0.714,0.086,0.714,-0.399,3.266,65.885,212.256,4,4,2,2,4,2,4,2,80,11.467,0,0,0,10.229,0,0,48.531,11.375,11.375,100,1.50E-08
2.48,569.479,13.121,9.069,9.069,8.575,4.968,4.968,3.47,3.47,2.276,2.276,1.407,1.407,11.939,9.589,11.127,11.388,0,36.659,0,0,9.968,10.213,244.048,0,-2.76,18,236.142,12779.802,11.717,4.622,2.32,101.569,10.817,0.478,10.817,0.335,0.072,0.335,-1.076,-0.478,1.54,61.387,244.206,2,6,2,2,4,2,6,3,90,10.213,0,11.939,9.589,0,0,0,24.265,12.394,22.515,2.145,437.932,11.38,8.668,8.668,7.737,4.867,4.867,3.383,3.383,2.067,2.067,1.197,1.197,0,0,0,11.375,11.375,0,24.265,24.265,10.229,11.467,212.106,0,-2.36,16,200.16,5494.485,10.168,4.44,2.571,93.615,5.564,0.399,5.564,0.086,0.714,0.086,0.714,-0.399,3.266,65.885,212.256,4,4,2,2,4,2,4,2,80,11.467,0,0,0,10.229,0,0,48.531,11.375,11.375,140,1.62E-08
2.48,569.479,13.121,9.069,9.069,8.575,4.968,4.968,3.47,3.47,2.276,2.276,1.407,1.407,11.939,9.589,11.127,11.388,0,36.659,0,0,9.968,10.213,244.048,0,-2.76,18,236.142,12779.802,11.717,4.622,2.32,101.569,10.817,0.478,10.817,0.335,0.072,0.335,-1.076,-0.478,1.54,61.387,244.206,2,6,2,2,4,2,6,3,90,10.213,0,11.939,9.589,0,0,0,24.265,12.394,22.515,2.145,437.932,11.38,8.668,8.668,7.737,4.867,4.867,3.383,3.383,2.067,2.067,1.197,1.197,0,0,0,11.375,11.375,0,24.265,24.265,10.229,11.467,212.106,0,-2.36,16,200.16,5494.485,10.168,4.44,2.571,93.615,5.564,0.399,5.564,0.086,0.714,0.086,0.714,-0.399,3.266,65.885,212.256,4,4,2,2,4,2,4,2,80,11.467,0,0,0,10.229,0,0,48.531,11.375,11.375,180,1.72E-08
