BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,Manufacture Method,Material Ratio PbI2:Cation,Stability
2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,1,0
2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,1.2,1
2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.83,1
2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,2,1,1
2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,2,1.2,0
2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,2,0.83,0
2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,3,1,0
2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,3,1.2,0
2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,3,0.83,0
1.803,989.932,16.096,13.418,13.418,11.81,8.591,8.591,6.665,6.665,5.188,5.188,4.169,4.169,0,4.795,5.626,5.563,48.885,23.235,12.394,18.199,15.95,4.417,318.137,0.3,-2.62,24,300.232,687478.9,13.786,5.196,1.988,139.294,12.561,0.422,12.561,0.344,0.278,0.344,-0.278,-0.422,3.554,94.57,318.376,0,4,0,2,2,1,2,3,4,0,4,1,120,1,1,0
1.803,989.932,16.096,13.418,13.418,11.81,8.591,8.591,6.665,6.665,5.188,5.188,4.169,4.169,0,4.795,5.626,5.563,48.885,23.235,12.394,18.199,15.95,4.417,318.137,0.3,-2.62,24,300.232,687478.9,13.786,5.196,1.988,139.294,12.561,0.422,12.561,0.344,0.278,0.344,-0.278,-0.422,3.554,94.57,318.376,0,4,0,2,2,1,2,3,4,0,4,1,120,1,1.2,0
1.803,989.932,16.096,13.418,13.418,11.81,8.591,8.591,6.665,6.665,5.188,5.188,4.169,4.169,0,4.795,5.626,5.563,48.885,23.235,12.394,18.199,15.95,4.417,318.137,0.3,-2.62,24,300.232,687478.9,13.786,5.196,1.988,139.294,12.561,0.422,12.561,0.344,0.278,0.344,-0.278,-0.422,3.554,94.57,318.376,0,4,0,2,2,1,2,3,4,0,4,1,120,1,0.83,0
1.803,989.932,16.096,13.418,13.418,11.81,8.591,8.591,6.665,6.665,5.188,5.188,4.169,4.169,0,4.795,5.626,5.563,48.885,23.235,12.394,18.199,15.95,4.417,318.137,0.3,-2.62,24,300.232,687478.9,13.786,5.196,1.988,139.294,12.561,0.422,12.561,0.344,0.278,0.344,-0.278,-0.422,3.554,94.57,318.376,0,4,0,2,2,1,2,3,4,0,4,1,120,2,1,0
1.803,989.932,16.096,13.418,13.418,11.81,8.591,8.591,6.665,6.665,5.188,5.188,4.169,4.169,0,4.795,5.626,5.563,48.885,23.235,12.394,18.199,15.95,4.417,318.137,0.3,-2.62,24,300.232,687478.9,13.786,5.196,1.988,139.294,12.561,0.422,12.561,0.344,0.278,0.344,-0.278,-0.422,3.554,94.57,318.376,0,4,0,2,2,1,2,3,4,0,4,1,120,2,1.2,1
1.803,989.932,16.096,13.418,13.418,11.81,8.591,8.591,6.665,6.665,5.188,5.188,4.169,4.169,0,4.795,5.626,5.563,48.885,23.235,12.394,18.199,15.95,4.417,318.137,0.3,-2.62,24,300.232,687478.9,13.786,5.196,1.988,139.294,12.561,0.422,12.561,0.344,0.278,0.344,-0.278,-0.422,3.554,94.57,318.376,0,4,0,2,2,1,2,3,4,0,4,1,120,2,0.83,1
1.803,989.932,16.096,13.418,13.418,11.81,8.591,8.591,6.665,6.665,5.188,5.188,4.169,4.169,0,4.795,5.626,5.563,48.885,23.235,12.394,18.199,15.95,4.417,318.137,0.3,-2.62,24,300.232,687478.9,13.786,5.196,1.988,139.294,12.561,0.422,12.561,0.344,0.278,0.344,-0.278,-0.422,3.554,94.57,318.376,0,4,0,2,2,1,2,3,4,0,4,1,120,3,1,0
1.803,989.932,16.096,13.418,13.418,11.81,8.591,8.591,6.665,6.665,5.188,5.188,4.169,4.169,0,4.795,5.626,5.563,48.885,23.235,12.394,18.199,15.95,4.417,318.137,0.3,-2.62,24,300.232,687478.9,13.786,5.196,1.988,139.294,12.561,0.422,12.561,0.344,0.278,0.344,-0.278,-0.422,3.554,94.57,318.376,0,4,0,2,2,1,2,3,4,0,4,1,120,3,1.2,1
1.803,989.932,16.096,13.418,13.418,11.81,8.591,8.591,6.665,6.665,5.188,5.188,4.169,4.169,0,4.795,5.626,5.563,48.885,23.235,12.394,18.199,15.95,4.417,318.137,0.3,-2.62,24,300.232,687478.9,13.786,5.196,1.988,139.294,12.561,0.422,12.561,0.344,0.278,0.344,-0.278,-0.422,3.554,94.57,318.376,0,4,0,2,2,1,2,3,4,0,4,1,120,3,0.83,0
2.232,633.822,14.535,11.316,11.316,9.575,6.092,6.092,4.433,4.433,2.774,2.774,1.671,1.671,5.969,4.795,5.563,11.375,5.687,6.066,18.199,43.261,10.229,5.107,269.116,0.133,-2.69,20,254.184,34197.453,13.735,5.968,3.198,116.746,11.046,0.478,11.046,0.337,0.14,0.337,-1.012,-0.478,3.866,78.346,269.304,1,5,0,0,0,2,0,2,4,1,5,4,102,1,1,0
2.232,633.822,14.535,11.316,11.316,9.575,6.092,6.092,4.433,4.433,2.774,2.774,1.671,1.671,5.969,4.795,5.563,11.375,5.687,6.066,18.199,43.261,10.229,5.107,269.116,0.133,-2.69,20,254.184,34197.453,13.735,5.968,3.198,116.746,11.046,0.478,11.046,0.337,0.14,0.337,-1.012,-0.478,3.866,78.346,269.304,1,5,0,0,0,2,0,2,4,1,5,4,102,1,1.2,1
2.232,633.822,14.535,11.316,11.316,9.575,6.092,6.092,4.433,4.433,2.774,2.774,1.671,1.671,5.969,4.795,5.563,11.375,5.687,6.066,18.199,43.261,10.229,5.107,269.116,0.133,-2.69,20,254.184,34197.453,13.735,5.968,3.198,116.746,11.046,0.478,11.046,0.337,0.14,0.337,-1.012,-0.478,3.866,78.346,269.304,1,5,0,0,0,2,0,2,4,1,5,4,102,1,0.83,0
2.232,633.822,14.535,11.316,11.316,9.575,6.092,6.092,4.433,4.433,2.774,2.774,1.671,1.671,5.969,4.795,5.563,11.375,5.687,6.066,18.199,43.261,10.229,5.107,269.116,0.133,-2.69,20,254.184,34197.453,13.735,5.968,3.198,116.746,11.046,0.478,11.046,0.337,0.14,0.337,-1.012,-0.478,3.866,78.346,269.304,1,5,0,0,0,2,0,2,4,1,5,4,102,2,1,0
2.232,633.822,14.535,11.316,11.316,9.575,6.092,6.092,4.433,4.433,2.774,2.774,1.671,1.671,5.969,4.795,5.563,11.375,5.687,6.066,18.199,43.261,10.229,5.107,269.116,0.133,-2.69,20,254.184,34197.453,13.735,5.968,3.198,116.746,11.046,0.478,11.046,0.337,0.14,0.337,-1.012,-0.478,3.866,78.346,269.304,1,5,0,0,0,2,0,2,4,1,5,4,102,2,1.2,0
2.232,633.822,14.535,11.316,11.316,9.575,6.092,6.092,4.433,4.433,2.774,2.774,1.671,1.671,5.969,4.795,5.563,11.375,5.687,6.066,18.199,43.261,10.229,5.107,269.116,0.133,-2.69,20,254.184,34197.453,13.735,5.968,3.198,116.746,11.046,0.478,11.046,0.337,0.14,0.337,-1.012,-0.478,3.866,78.346,269.304,1,5,0,0,0,2,0,2,4,1,5,4,102,2,0.83,0
2.232,633.822,14.535,11.316,11.316,9.575,6.092,6.092,4.433,4.433,2.774,2.774,1.671,1.671,5.969,4.795,5.563,11.375,5.687,6.066,18.199,43.261,10.229,5.107,269.116,0.133,-2.69,20,254.184,34197.453,13.735,5.968,3.198,116.746,11.046,0.478,11.046,0.337,0.14,0.337,-1.012,-0.478,3.866,78.346,269.304,1,5,0,0,0,2,0,2,4,1,5,4,102,3,1,0
2.232,633.822,14.535,11.316,11.316,9.575,6.092,6.092,4.433,4.433,2.774,2.774,1.671,1.671,5.969,4.795,5.563,11.375,5.687,6.066,18.199,43.261,10.229,5.107,269.116,0.133,-2.69,20,254.184,34197.453,13.735,5.968,3.198,116.746,11.046,0.478,11.046,0.337,0.14,0.337,-1.012,-0.478,3.866,78.346,269.304,1,5,0,0,0,2,0,2,4,1,5,4,102,3,1.2,0
