fomula,homo,lumo,band gap,cosmoname,cosmodata
CsCsCsCsPbClClClClBrBr,-0.19242,-0.03267,0.15975,Methylene chloride,9.0800
CsCsCsCsPbClClClClClBr,-0.20119,-0.03839,0.1628,Dimethyl sulfoxide,46.7000
CsCsCsCsPbClClClClClI,-0.18403,-0.03238,0.15165,Diethyl ether,4.3350
CsCsCsCsPbFBrBrBrBrI,-0.19502,-0.04608,0.14894,Methanol,32.6300
CsCsCsCsPbFBrBrIII,-0.19564,-0.05573,0.13991,Acetonitrile,37.5000
CsCsCsCsPbFClClBrBrBr,-0.1659,-0.02723,0.13867,n-hexane,1.8900
CsCsCsCsPbFClClBrII,-0.18951,-0.04408,0.14543,Methylene chloride,9.0800
CsCsCsCsPbFFClBrII,-0.17681,-0.03003,0.14678,Diethyl ether,4.3350
CsCsCsCsPbFFClClClBr,-0.16506,-0.02167,0.14339,n-hexadecane,2.0600
CsCsCsCsPbFFClIII,-0.16772,-0.06709,0.10063,n-hexane,1.8900
CsCsCsCsPbFFFClBrI,-0.18662,-0.02676,0.15986,Nitrobenzene,35.7000
CsCsCsCsPbFFFClClI,-0.18831,-0.02634,0.16197,Acetonitrile,37.5000
CsCsCsCsPbFFFFBrI,-0.19711,-0.04361,0.1535,Chlorofom,4.8060
CsCsCsCsPbFFFFClBr,-0.20746,-0.03882,0.16864,Ethanol,24.3000
CsCsCsCsPbFFFFClI,-0.17481,-0.04993,0.12488,n-hexane,1.8900
CsCsCsCsPbFFFFFCl,-0.18722,-0.03829,0.14893,Carbon tetrachloride,2.2380
CsCsCsCsSnBrBrBrBrBrI,-0.16308,-0.04437,0.11871,Benzene,2.2840
CsCsCsCsSnClBrIIII,-0.15745,-0.04237,0.11508,n-hexadecane,2.0600
CsCsCsCsSnClClClClClBr,-0.17804,-0.0394,0.13864,Pyridine,12.3000
CsCsCsCsSnClClClIII,-0.15905,-0.03468,0.12437,n-hexane,1.8900
CsCsCsCsSnClClIIII,-0.18663,-0.06882,0.11781,Water,78.5400
CsCsCsCsSnFBrBrBrII,-0.15224,-0.04289,0.10935,n-hexane,1.8900
CsCsCsCsSnFBrBrIII,-0.17621,-0.04697,0.12924,Ethanol,24.3000
CsCsCsCsSnFClBrBrBrBr,-0.16935,-0.03225,0.1371,Methylene chloride,9.0800
CsCsCsCsSnFClBrBrBrI,-0.165,-0.03199,0.13301,Chlorofom,4.8060
CsCsCsCsSnFClClBrII,-0.18443,-0.05539,0.12904,Dimethyl sulfoxide,46.7000
CsCsCsCsSnFFClClBrBr,-0.16656,-0.02444,0.14212,Ethanol,24.3000
CsCsCsCsSnFFClClBrI,-0.17274,-0.03042,0.14232,Methanol,32.6300
CsCsCsCsSnFFClClClBr,-0.13642,-0.02177,0.11465,n-hexane,1.8900
CsCsCsCsSnFFFBrBrBr,-0.17321,-0.0347,0.13851,Acetonitrile,37.5000
CsCsCsCsSnFFFBrII,-0.16436,-0.02998,0.13438,Diethyl ether,4.3350
CsCsCsCsSnFFFClBrBr,-0.16083,-0.02675,0.13408,Chlorofom,4.8060
CsCsCsCsSnFFFClBrI,-0.14815,-0.03232,0.11583,n-hexane,1.8900
CsCsCsCsSnFFFClClI,-0.17968,-0.03891,0.14077,Nitrobenzene,35.7000
CsCsCsCsSnFFFFBrI,-0.15025,-0.03163,0.11862,Carbon tetrachloride,2.2380
CsCsCsCsSnFFFFClCl,-0.19696,-0.05032,0.14664,Pyridine,12.3000
KCsCsCsGeBrBrBrIII,-0.18924,-0.06008,0.12916,Acetonitrile,37.5000
KCsCsCsGeBrBrIIII,-0.18554,-0.06951,0.11603,Methylene chloride,9.0800
KCsCsCsGeClClBrBrBrI,-0.17092,-0.05286,0.11806,n-hexadecane,2.0600
KCsCsCsGeClClBrBrII,-0.19247,-0.07835,0.11412,Methanol,32.6300
KCsCsCsGeClClBrIII,-0.16771,-0.07041,0.0973,n-hexadecane,2.0600
KCsCsCsGeClClClClBrBr,-0.18948,-0.05613,0.13335,Acetonitrile,37.5000
KCsCsCsGeClClClClII,-0.18647,-0.06811,0.11836,Chlorofom,4.8060
KCsCsCsGeClIIIII,-0.18476,-0.05456,0.1302,Dimethyl sulfoxide,46.7000
KCsCsCsGeFBrBrBrBrBr,-0.187,-0.03913,0.14787,Methylene chloride,9.0800
KCsCsCsGeFBrBrBrII,-0.19772,-0.07451,0.12321,Dimethyl sulfoxide,46.7000
KCsCsCsGeFBrIIII,-0.19144,-0.07393,0.11751,Pyridine,12.3000
KCsCsCsGeFClBrBrBrBr,-0.16906,-0.04967,0.11939,Benzene,2.2840
KCsCsCsGeFClBrBrBrI,-0.18154,-0.04046,0.14108,Acetone,20.7000
KCsCsCsGeFClBrIII,-0.18842,-0.06565,0.12277,Water,78.5400
